 
FileName        : ExpData.txt								
Author          : VJ
Last Updated    : 210119
Competible with :expcvm.05								
Format:-----------------------------------------------------------									
DataId	DataType	       y      yMod   sig(Y)  	Wt.    	x      	x1     	x2     	References

#************************START#
//SOLIDUS(ROG)
70	CXXB-A2-T-1-A3-TO-1	0.9945	0.9945	0.0005	1	1003	0.815	0.999	90PER

//55	MGX2-A2-T-1	        0.64	0.64	0.01	1	1117	0.08	0.64	72EFF
//56	MGX2-A2-T-1	        0.49	0.49	0.01	1	1184	0.08	0.49	72EFF
//57	MGX2-A2-T-1	        0.47	0.47	0.01	1	1198	0.08	0.47	72EFF

//58	MGX1-A2-T-1	        0.28	0.28	0.01	1	1201	0.28    0.815	72EFF
//59	MGX1-A2-T-1	        0.26	0.26	0.01	1	1187	0.26    0.815	72EFF
//60	MGX1-A2-T-1	        0.18	0.18	0.01	1	1117	0.18    0.815	72EFF
//61	MGX1-A2-T-1	        0.17	0.17	0.01	1	1071	0.17    0.815	72EFF
//62	MGX1-A2-T-1	        0.15	0.15	0.01	1	998	0.15    0.815	72EFF
//64	MGX1-A2-T-1	        0.13	0.13	0.01	1	879	0.13    0.815	72EFF
